additional_file_number,file,title,description,path,bytes
1,Additional_file_1_dataset_metadata_and_qc.xlsx,Dataset metadata and QC,"Bulk, miRNA, and single-cell annotation and expression-matrix QC tables.",manuscript/additional_files/Additional_file_1_dataset_metadata_and_qc.xlsx,203181
2,Additional_file_2_differential_expression_results.xlsx,Differential expression results,Annotated differential-expression summaries and QC outputs.,manuscript/additional_files/Additional_file_2_differential_expression_results.xlsx,8153827
3,Additional_file_3_robust_candidates.xlsx,Robust mRNA and miRNA candidates,"Discovery-validation robust candidate tables, direction matrices, and dataset-specific validation-support rules.",manuscript/additional_files/Additional_file_3_robust_candidates.xlsx,198312
4,Additional_file_4_mirna_mrna_axes.xlsx,miRNA-mRNA candidate axes,"miRTarBase-derived opposite-direction candidate axes, evidence grading, exact-axis support table, target-set stress tests, hsa-miR-375 target release-like score, relaxed exploratory axes, and paired-correlation audit.",manuscript/additional_files/Additional_file_4_mirna_mrna_axes.xlsx,42204
5,Additional_file_5_enrichment_results.xlsx,GO/KEGG/Reactome enrichment results,"Enrichment results, gene-set inputs, and enrichment QC tables.",manuscript/additional_files/Additional_file_5_enrichment_results.xlsx,2963546
6,Additional_file_6_string_ppi_results.xlsx,STRING PPI and hub results,"STRING mapping, network nodes, edges, hub metrics, and QC tables.",manuscript/additional_files/Additional_file_6_string_ppi_results.xlsx,116549
7,Additional_file_7_machine_learning_results.xlsx,"Machine-learning performance, feature stability, and perturbation triage","Model performance, feature-selection stability, predictions, hyperparameter grids, final Elastic Net specification, candidate-prioritization outputs, perturbation-triage validation-planning score, and score weight-sensitivity analysis.",manuscript/additional_files/Additional_file_7_machine_learning_results.xlsx,2996359
8,Additional_file_8_machine_learning_sensitivity.xlsx,Machine-learning sensitivity analyses,"Leave-one-validation-cohort sensitivity, random robust-gene panel baseline outputs, disease-control score stress test, matched random discovery-feature panel baseline, non-perfect-cohort summary, and cohort-adjusted score test.",manuscript/additional_files/Additional_file_8_machine_learning_sensitivity.xlsx,208711
9,Additional_file_9_single_cell_localization.xlsx,Single-cell localization summaries,"Single-cell target-expression summaries, donor-aware pseudobulk validation, broad-celltype mapping, localization tables, and validation QC.",manuscript/additional_files/Additional_file_9_single_cell_localization.xlsx,1786235
10,Additional_file_10_mechanistic_extension.xlsx,Mechanistic extension outputs,"Marker scores, coexpression modules, curated ligand-receptor scoring, coexpression-neighborhood perturbation-priority proxy, and TNIK bridge tables.",manuscript/additional_files/Additional_file_10_mechanistic_extension.xlsx,174444
11,Additional_file_11_code_archive.zip,Analysis code archive,"Numbered analysis scripts, README file, software environment notes, and reproducibility instructions.",manuscript/additional_files/Additional_file_11_code_archive.zip,171523
12,Additional_file_12_pseudobulk_donor_plots.pdf,Donor-level pseudobulk plots,Supplementary donor-level pseudobulk dot/median plots for the core single-cell validation comparisons shown in Figure 5C.,manuscript/additional_files/Additional_file_12_pseudobulk_donor_plots.pdf,258363
13,Additional_file_13_auc_stress_tests.pdf,AUC disease-state stress-test plots,Supplementary disease-control score distribution and matched random discovery-feature panel baseline for external ML boundary assessment.,manuscript/additional_files/Additional_file_13_auc_stress_tests.pdf,171088
14,Additional_file_14_mirna_program_stress_test.pdf,miRNA target-program stress-test plots,Supplementary miRTarBase target-set stress test and hsa-miR-375 target release-like score used to bound miRNA interpretation.,manuscript/additional_files/Additional_file_14_mirna_program_stress_test.pdf,157777
