gene_set,database,tested_terms,significant_terms,min_adjusted_p
robust_mrna_strict,GO_BP,4179,31,3.04861514429248e-14
robust_mrna_strict,GO_CC,513,28,3.79885986132393e-16
robust_mrna_strict,GO_MF,788,10,2.68038072007415e-05
robust_mrna_strict,KEGG,333,1,0.00567105954119035
robust_mrna_strict,Reactome,1157,11,2.08370146458631e-05
robust_mrna_up,GO_BP,4179,34,5.85155488308283e-18
robust_mrna_up,GO_CC,513,28,9.09798073662206e-20
robust_mrna_up,GO_MF,788,13,1.68163194829214e-06
robust_mrna_up,KEGG,333,3,0.00681809145889468
robust_mrna_up,Reactome,1157,12,2.5916019360584e-07
robust_mrna_down,GO_BP,4179,0,0.208756433595544
robust_mrna_down,GO_CC,513,0,0.301979160388305
robust_mrna_down,GO_MF,788,2,0.0385407583424299
robust_mrna_down,KEGG,333,0,0.962829581783351
robust_mrna_down,Reactome,1157,0,0.457026445623661
mirna_mrna_axis_targets_all,GO_BP,4179,0,0.646265688400718
mirna_mrna_axis_targets_all,GO_CC,513,0,0.26968548867466
mirna_mrna_axis_targets_all,GO_MF,788,0,1
mirna_mrna_axis_targets_all,KEGG,333,0,1
mirna_mrna_axis_targets_all,Reactome,1157,0,0.0899916032456657
