feature,overall_selection_count,overall_selection_frequency,lasso_logistic_selection_frequency,elastic_net_selection_frequency,linear_svm_selection_frequency,rbf_svm_selection_frequency,random_forest_selection_frequency,gradient_boosting_selection_frequency,mlp_small_selection_frequency,models_selecting_feature,mean_importance,models_with_final_importance,panel_score,discovery_logFC,discovery_adj_p,discovery_p_value,same_direction_fdr_sig_count,robust_score,validation_details,degree,weighted_degree,hub_score,hub_rank,axis_count,regulating_mirnas,enrichment_gene_set_count,oligonucleotide_strategy,target_priority_score
ASPN,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.4675538654715573,7.0,3.9923076923076923,2.87354942016807,8.212072888495109e-43,1.37440550435065e-46,4.0,29.0,GSE110147:1.59/FDR=1.61e-08; GSE150910:1.81/FDR=4.4e-22; GSE53845:2.75/FDR=2.11e-08; GSE92592:1.96/FDR=6.26e-08,15.0,9.31,1.5871530111951828,52.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,3.38
PTGFRN,310,0.8857142857142857,0.74,0.76,0.74,0.98,1.0,0.98,1.0,7,0.2955941565880135,7.0,3.4175824175824174,1.0884517697479,2.9045336746549e-33,8.26394518311856e-36,3.0,23.0,GSE110147:1.49/FDR=3.06e-19; GSE150910:1.96/FDR=1.18e-30; GSE53845:0.303/FDR=0.00152; GSE92592:1.89/FDR=1.54e-12,1.0,0.561,0.0629503958550962,221.0,2,hsa-miR-30a;hsa-miR-92a,3,upregulated mRNA: siRNA/ASO knockdown candidate,3.3600000000000003
COL14A1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.30312480014153437,7.0,3.730769230769231,2.06047864033614,1.00895030510561e-38,6.75447902999575e-42,4.0,29.0,GSE110147:2.35/FDR=1.06e-14; GSE150910:2.52/FDR=6.18e-36; GSE53845:2.5/FDR=5.5e-11; GSE92592:2.74/FDR=4.61e-10,16.0,10.245,1.6930946923400634,42.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,3.22
GPX3,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.3113374765869196,7.0,3.7615384615384615,-1.41080964201681,2.6086075186579092e-40,1.09146758102842e-43,3.0,23.0,GSE110147:-2.3/FDR=2.09e-13; GSE150910:-1.3/FDR=5.2e-19; GSE53845:-2.28/FDR=1.16e-08; GSE92592:-0.843/FDR=0.000174,9.0,6.03,1.4353560929149252,67.0,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,2.98
FNDC1,348,0.9942857142857143,0.98,0.98,1.0,1.0,1.0,1.0,1.0,7,0.41419702254519664,7.0,3.8885714285714283,1.62903684537815,7.57529850525603e-37,1.16250276280278e-39,3.0,23.0,GSE110147:0.29/FDR=0.0781; GSE150910:2.99/FDR=2.05e-23; GSE53845:2.21/FDR=1.29e-10; GSE92592:2.6/FDR=7.59e-07,9.0,4.416,1.1437950145226912,99.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.9400000000000004
NECAB1,347,0.9914285714285714,1.0,0.98,0.96,1.0,1.0,1.0,1.0,7,0.30510421587316855,7.0,3.736703296703297,-1.80468093109244,1.40333216811779e-37,1.29177019659378e-40,4.0,29.0,GSE110147:-2.04/FDR=1.42e-09; GSE150910:-1.7/FDR=8.09e-14; GSE53845:-2.22/FDR=3.16e-11; GSE92592:-1.68/FDR=1.85e-10,1.0,0.413,0.6792791543031387,194.0,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,2.8200000000000003
CDH3,326,0.9314285714285714,0.82,0.86,0.84,1.0,1.0,1.0,1.0,7,0.3042937416897881,7.0,3.609010989010989,1.65436129579832,1.50615627213008e-34,3.02491636243697e-37,4.0,29.0,GSE110147:1.46/FDR=5.1e-12; GSE150910:2.9/FDR=3.48e-40; GSE53845:2.28/FDR=9.55e-12; GSE92592:3.08/FDR=2.31e-14,7.0,4.116,1.1291556393465627,101.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.74
CFH,271,0.7742857142857142,0.54,0.6,0.62,0.84,1.0,0.84,0.98,7,0.29898815059118294,7.0,3.2254945054945052,1.15910980336135,3.03447352362242e-31,1.11729569070616e-33,4.0,29.0,GSE110147:2.72/FDR=4.43e-19; GSE150910:1.33/FDR=1.26e-37; GSE53845:1.29/FDR=1.59e-07; GSE92592:1.82/FDR=7.66e-10,9.0,5.373,1.7923049177707864,36.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.58
HMCN1,342,0.9771428571428571,0.94,0.94,0.96,1.0,1.0,1.0,1.0,7,0.3461949297066269,7.0,3.7542857142857144,1.42244628571429,7.57529850525603e-37,1.20444076652606e-39,2.0,17.0,GSE110147:1.87/FDR=6e-15; GSE150910:0.637/FDR=1.71e-09; GSE53845:0.876/FDR=0.000367; GSE92592:1.22/FDR=7.33e-06,3.0,1.638,0.9728710620209304,129.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.56
CD24,280,0.8,0.58,0.64,0.64,0.88,1.0,0.9,0.96,7,0.2965493997375133,7.0,3.2615384615384615,2.12442620840336,1.0980246443678e-31,3.95105102157452e-34,4.0,29.0,GSE110147:1.5/FDR=4.82e-08; GSE150910:1.43/FDR=1.1e-12; GSE53845:2.33/FDR=1.23e-10; GSE92592:1.58/FDR=1.64e-06,11.0,6.296,1.4959799636329527,60.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.5
LRRC17,280,0.8,0.56,0.64,0.64,0.9,1.0,0.9,0.96,7,0.30006818016581654,7.0,3.292307692307692,1.52447373445378,6.73109134022289e-32,2.3657392158105598e-34,4.0,29.0,GSE110147:1.57/FDR=1.03e-11; GSE150910:1.52/FDR=4.07e-19; GSE53845:1.5/FDR=7.25e-06; GSE92592:1.37/FDR=2.16e-07,2.0,0.898,0.8811992049641341,147.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.3000000000000003
KLHL13,340,0.9714285714285714,0.94,0.94,0.92,1.0,1.0,1.0,1.0,7,0.29484698813317106,7.0,3.573626373626374,1.39818914621849,2.4522472193759e-35,4.30938841898693e-38,3.0,23.0,GSE110147:1.59/FDR=2.28e-12; GSE150910:1.68/FDR=8.45e-26; GSE53845:0.876/FDR=4.84e-07; GSE92592:1.47/FDR=2.86e-05,1.0,0.411,0.6186799439610945,207.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.22
NPR1,230,0.6571428571428571,0.42,0.54,0.56,0.72,0.96,0.62,0.78,7,0.415077423850723,5.0,3.2219780219780216,-1.21791951764706,1.83361261671366e-29,9.53186064886464e-32,3.0,23.0,GSE110147:-1.21/FDR=1.33e-09; GSE150910:-1.1/FDR=9.43e-14; GSE53845:-1.52/FDR=3.31e-10; GSE92592:-0.85/FDR=2.44e-05,4.0,2.463,1.3903834236357229,71.0,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,2.1
CSF3R,315,0.9,0.76,0.76,0.78,1.0,1.0,1.0,1.0,7,0.3139729820073021,7.0,3.569230769230769,-1.44233322857143,1.68114777017015e-34,3.65772736606058e-37,2.0,17.0,GSE110147:-1.14/FDR=2.98e-06; GSE150910:-1.21/FDR=9.69e-16; GSE53845:-0.88/FDR=5.8e-06; GSE92592:-0.71/FDR=0.00812,3.0,1.389,0.8445340595758648,156.0,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,2.08
SYTL2,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.300231095719706,7.0,3.7,1.10353269411765,4.22440831693152e-37,5.30260458192241e-40,2.0,17.0,GSE110147:1.78/FDR=1.11e-17; GSE150910:0.781/FDR=5.78e-18; GSE53845:1.53/FDR=1.49e-10; GSE92592:0.71/FDR=2.62e-05,0.0,0.0,0.0,275.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,1.9
PSD3,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.2990940706615013,7.0,3.684615384615385,1.07706565210084,1.10219057522338e-39,6.45634646574364e-43,2.0,17.0,GSE110147:1.9/FDR=5.34e-18; GSE150910:0.447/FDR=8.8e-05; GSE53845:1.18/FDR=5.12e-12; GSE92592:0.802/FDR=6.96e-06,0.0,0.0,0.0,264.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,1.8599999999999999
SLCO4A1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.30160851506763414,7.0,3.7153846153846155,-2.04902995126051,2.28290405220667e-37,2.6745319440078094e-40,2.0,13.75,GSE110147:-1.26/FDR=7.41e-06; GSE150910:-0.749/FDR=0.00186; GSE53845:-2.74/FDR=7.1e-10; GSE92592:0.0823/FDR=0.889,0.0,0.0,0.0,273.0,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,1.8000000000000003
PDE7B,295,0.8428571428571429,0.6,0.64,0.66,1.0,1.0,1.0,1.0,7,0.29827020756146194,7.0,3.354945054945055,1.17829101176471,1.39218738439736e-32,4.54354041769849e-35,2.0,17.0,GSE110147:0.759/FDR=3.16e-08; GSE150910:1.15/FDR=2.23e-15; GSE53845:0.369/FDR=0.000485; GSE92592:1.04/FDR=6.15e-06,2.0,1.328,0.7914402865572269,169.0,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,1.8000000000000003
GRASP,292,0.8342857142857143,0.6,0.68,0.68,0.96,1.0,0.94,0.98,7,0.3448322644370583,7.0,3.4608791208791208,-1.30432183529412,2.99463067673726e-32,1.00238683740159e-34,2.0,17.0,GSE110147:-0.935/FDR=2.76e-08; GSE150910:-0.916/FDR=2.7e-12; GSE53845:-1.37/FDR=0.000215; GSE92592:-1.28/FDR=4.9e-06,0.0,0.0,0.0,244.0,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,1.58
CBS,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.5206560442238335,7.0,4.0,-1.18282163697479,1.26922008884031e-52,1.06210886095423e-56,,,,,,,,0,,0,downregulated mRNA: not primary knockdown target; consider pathway context,1.5
MGAM,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.3021872219915416,7.0,3.723076923076923,-2.16041968067227,1.10219057522338e-39,5.936423539937789e-43,,,,,,,,0,,0,downregulated mRNA: not primary knockdown target; consider pathway context,1.2200000000000002
IL1R2,320,0.9142857142857143,0.78,0.86,0.76,1.0,1.0,1.0,1.0,7,0.325251895651271,7.0,3.613186813186813,-2.74583776806723,3.9378940639958795e-34,9.42428450299e-37,,,,,,,,0,,0,downregulated mRNA: not primary knockdown target; consider pathway context,1.06
GLT1D1,302,0.8628571428571429,0.62,0.7,0.74,0.98,1.0,1.0,1.0,7,0.35703456566126135,7.0,3.5334065934065935,-1.12880435966387,5.33972567485395e-33,1.6086202869852902e-35,,,,,,,,0,,0,downregulated mRNA: not primary knockdown target; consider pathway context,0.9
TNFRSF19,323,0.9228571428571428,0.8,0.82,0.84,1.0,1.0,1.0,1.0,7,0.2955297892150694,7.0,3.484175824175824,1.08107808907563,3.9378940639958795e-34,9.55639563647535e-37,,,,,,,,0,,0,upregulated mRNA: siRNA/ASO knockdown candidate,0.86
TPPP3,252,0.72,0.5,0.62,0.62,0.76,1.0,0.7,0.84,7,0.4209673139855264,7.0,3.3707692307692305,1.42149474453782,1.3073036485292898e-30,5.46988974280037e-33,,,,,,,,0,,0,upregulated mRNA: siRNA/ASO knockdown candidate,0.74
