series_id,broad_celltype,group,donors,total_cells,median_cells_per_donor,min_cells_per_donor,max_cells_per_donor
GSE135893,Endothelial,Control,9,3156,329.0,70,715
GSE135893,Endothelial,IPF,12,4080,194.0,26,1888
GSE135893,Epithelial,Control,10,8430,757.5,30,1912
GSE135893,Epithelial,IPF,12,24891,674.0,230,6434
GSE135893,Immune,Control,10,19493,1079.0,638,5217
GSE135893,Immune,IPF,12,25696,1563.5,220,6408
GSE135893,Mesenchymal,Control,10,565,57.0,2,134
GSE135893,Mesenchymal,IPF,12,3015,101.0,10,1104
GSE136831,Endothelial,Control,27,2184,45.0,1,343
GSE136831,Endothelial,IPF,32,4010,82.0,4,506
GSE136831,Epithelial,Control,28,4609,71.5,1,1746
GSE136831,Epithelial,IPF,32,12319,305.0,77,1028
GSE136831,Lymphoid,Control,28,13403,198.0,11,2440
GSE136831,Lymphoid,IPF,32,21225,574.0,17,1821
GSE136831,Myeloid,Control,28,45376,931.0,9,6522
GSE136831,Myeloid,IPF,32,86183,2570.0,317,8248
GSE136831,Stromal,Control,26,1143,21.5,2,210
GSE136831,Stromal,IPF,32,5423,77.5,5,854
